Word,Explanation
זקף את קומתו, גרם למי שהרגיש מושפל לחוש גאווה  ייחס מעשה או גאווה למישהו
זרא, גועל/ בחילה
זרבובית, פיה/ אף של חיה
חאן, אכסניה
חבר, הצטרף לאחרים/ התרועע עם אחר
חגר שק, התאבל
חוטבי עצים ושואבי מים, כינוי לבני המעמד הנמוך
חוג, היקף
חוטר, ענף עיקרי היוצא מגזע עץ/ מקל/ צאצא
חוכא ואיטולילא, דבר מגוחך שכולם לועגים לו
חוכך, בעל ספקות
חומץ בן יין, רשע בן צדיק
חומר, אדמה דביקה ובלתי חדירה למים/ דבר גשמי
חומרה, קושי/ הגבלה
חונטה, כת של אנשי צבא שהגיעו לשלטון לאחר הפיכה צבאית
חוצן, שולי הבגד
חוק, שלב בסולם
חורמה, השמדה
חזון נפרץ, תופעה שכיחה
עוד חזון למועד, עדיין לא הגיעה השעה לכך
חזקה, זכות קניין
חזקה עליו ש, אין ספק לגביו ש
חח, טבעת ברזל ששימשה לתפיסה אשר הושמה על בהמות
חילוט, עיקול או הפקעה של רכוש
חילוי, בקשת רחמים או סליחה
חירוף, השמעת דברי בוז
חישור, מוט ברזל המחבר בין חישוק הגלגל למרכזו  אחת מעצמות כף היד
חישן, חששן
חכלילי, אדמדם/ סמוק
חלד, עולם/יקום/ החיים החולפים
חליטה, יציקת מים רותחים על משהו
חליצה, הסרה/ טקסט דתי שבו אלמנה חסרת ילדים שולפת את  נעלו של אחי בעלה מרגלו על  מנת לפטור אותו מחובתו להינשא לה
חלכאי, עלוב/ דל
חמדה, רצון עז/ דבר יקר ונחשק
חמת, שק מעור המיועד לנוזלים
חנוט, שלא התפתח/ גוויה שנעטפה וטופלה בחומרים משמרים
חסיד שוטה, נאמן וקנאי לרעיון או למנהיג עד כדי אובדן חשיבה עצמאית
חסיון, הגנה משפטית המאפשרת שמירת סודיות
חרב, שהפך לחורבות/ יבש
חרום, פחוס/ שקוע
חרצובות, קשרים או מעצורים שקשה להתירם ולהתגבר עליהם  כבלים/ שלשלאות/ עבותות
חרש, בעל מלאכה
חרש, בסתר ובשקט
חשיקה, רצון עז/ הידוק חזק זה לזה
חתה, העביר ממקום למקום
חתול בשק, משהו שטיבו אינו ברור
טבין ותקילין, סכום נכבד ששולם עבור סחורה כלשהי
טובל ושרץ בידו, חוזר בתשובה אך לא בלב שלם
טוגה, גלימה רחבה בלי שרוולים
טוטפות, תפילין
טול קורה מבין עיניך, בדוק את עצמך לפני שתבקר אחרים
טח, כוסה/ נסתם
טין, בוץ
טיכוס, סידור/ קביעה
טמיון, אוצר המדינה/ אבדון/הרס
טמיר, נסתר
טעמו ונימוקו עמו, יש לו הסבר משלו  יש לו סיבה שאינו מעוניין לגלותה
טפח, מידת אורך קדומה/ קצת/מעט
טפל, הדביק/ מרח
טפל עליו שקר, העליל עליו עלילות שווא
טפסר, פקיד/ תואר כבוד לאדם נכבד או מנהיג
טופר, ציפורן ארוכה
טריבונל, בית דין/ חבר שופטים
טריז, יתד
יבום, נישואים לאשת האח המת
יגיע, עמל/ מאמץ
יגיע כפיים, עבודה קשה ומאומצת
יד רוחצת יד, עשיית טובה למישהו כדי לקבל ממנו טובה
ידעוני, מגלה עתידות
יוקד, בוער
יורה, דוד/ סיר גדול
יחור, ענף רך
יחפן, טיפוס ריקני
יין נסך, יין של גויים שאסור ליהודים לשתות אותו
יין נתזים, יין תוסס
יין שרף, משקה חריף ומשכר
יען, מפני ש
יערה, חלת דבש
יפה נפש, רגיש לסבל הזולת/ עדין/ רגיש
יפעה, יופי
יצא וידיו על ראשו, נכנע/ ויתר
יצא ידי חובה, מילא את המוטל עליו בלי רצון
יציא כפיו, פרי עמלו
יצק מים על ידיו, התחנך אצלו
יראת שמים, שמירת המצוות באדיקות
ירכה, החלק האחרוי של אזור כלשהו
יש לאל ידו, יכול/ מסוגל
ישוב הדעת, מחשבה שקולה
כאין וכאפס, חסר כל חשיבות
כבידה, משיכה הדדית בין כל שני גופים בטבע
כדבעי, כמו שצריך
כהאי לישנא, בזו הלשון
כהה, נחלש
כהנה וכהנה, עוד ועוד
ללא כחל וסרק, כפי שהוא/ ללא ייפוי
כחש, צנימות/ שקר
כיבן, כרך/רכס/ עטף
כבנה, מטפחת לראש/ סיכת ראש
כל דאלים גבר, האלים יותר זוכה
כל עוד נפשו (רוחו) בו, בכוחותיו האחרונים
כל צרכו, במידה מספקת
כלה ונחרצה (היא מעמו), החלטה סופית שאין לשנותה
כלה, בטל/ חולף/ משתוקק
כלום, היש אמת בדבר?
כמי שכפאו שד, ביצע משהו בניגוד לרצונו
כמעין המתגבר, בלתי נדלה
כסת, שמיכת פוך
כעני בפתח, משל למי שעומד כמסכן ונזקק
כפה עליו הר כגיגית, הכריח אותו
כפתור ופרח, נפלא/ נהדר
כקצף על פני המים, חולף מהר.
כר נרחב, שטח גדול/ שטח פעולה נרחב  אפשרות לפעול
כרוז (kruz), הודעה שמפרסמים בציבור
כרוז (karoz), אדם שתפקידו להכריז הודעות בציבור
כריתות, גירושין
כרכוב, מסגרת בולטת מסביב לבניין
כשמן בעצמותיו, הדבר גורם לו עונג.
כתישה, טחינה ושחיקה לפירורים קטנים  הנחתת מהלומות על האויב במטרה לשבור את רוחו
לא לעולם חוסן, עושר וגדולה אינם קיימים לעד
לא תחסום שור בדישו, גישה סלחנית למעשי מעילה שוליים.
לאט (laat), דיבר לאט ובשקט/ הסתיר
לבד (leved), בד העשוי מצמר שהודק בלחץ רב
לגין, כלי קיבול לנוזלים/ קופסה
להלכה, באופן תיאורטי
לוז (luz), העיקר והמהות בדבר
לזות, עיקשות
לזות שפתיים, דברי שקר ורכילות
לחלוחית, רטוב מעט/ חיוניות/רעננות
לחם חסד, דבר שניתן בנדבה או במתנה.
לחם חוקו, דבר חיוני וקבוע/ אורך חיים
ליחוך פנכה, השמעת דברי חנופה
ליטרת הבשר, דבר שאדם זכאי לו/ והוא דורש אותו  למרות שהדבר כרוך בסבלו של אחר.
לית מאן דפליג, כולם מסכימים
לעיטה, זלילה/ הכנסת אוכל בכוח לפה בהמה
לענה, צמח שעליו מרים
לפתח חטאת רובץ, יש להיזהר/ שכן החטא אורב  ומחכה להזדמנות להשפיע לרעה.
לשד, מיץ/נוזל/ תמצית החיים
לשון המאזניים, הגורם המכריע
לשון נקיה, ניסוח מעודן של מילים או ביטויים גסים
לשון סגי נהור, שימוש בלשון במשמעות הפוכה/ באירוניה
לשון צחה, הגייה ברורה
לשם שמים, לא לתועלת אישית.
מאור, מקור אור/ כינוי לגורמי השמיים מפיצי האור
מאי נפקא מינה, מה ההבדל? מה זה משנה?
מאיר עיניים, בולט לעין/ מרחיב אופקים
מארג, מעשה אריגה/ מערכת דברים הקשורים זה בזה
מבואה, אולם כניסה במבנה ציבורי/ לובי
מגדלים פורחים באוויר, דבר שאין לו אחיזה במציאות
מגדנות, דברי מתיקה/ דברים הניתנים במתנה
מגופה, פהה/מסתם
מדאורייתא, מצווה או דין הכתובים מפורשות בתורה
מדובלל, פרוע
מהדר, מקפיד מאוד
מהדרין, המקפידים והמחמירים ביותר
מהוגן, שניתו לסמוך עליו/ מקובל על פי כללי המוסר והנימוס
מובלעת, שטח השייך למדינה מסוימת ומוקף בשטחי מדינה אחרת  כל דבר המוקף בדבר אחר השונה ממנו
מוז, בננה
מוך, דבר רך כצמר גפן/ פלומת נוצות
מונוקל, משקף לעין אחת
מונרכיה, שלטון מלך יחיד
מוסרה, חבל לרתימת בהמה לעגלה
מועד (muad)," אדם המוכר כפושע בחוק  שהעידו על זה שהוא עלול לעשות  מעשה מסוים (בד""כ שלילי)"
כמוץ לפני רוח, כדבר האובד וחולף מהר
לבור מוץ מן הבר, לפנות את הטפל מהעיקר
מוצאות, קורות/ תולדות
מוקד, אש/ מרכז
מורג, כלי חקלאי המשמש לדיש
מזה רעב, מורעב
מחיה, ניגוב/ סילוק
מטה לחם, כינוי מליצי למזון
מטריאליזם, חומרנות
מי אפסיים, מים רדודים/ רמה נמוכה/שטחיות
מכתם, שיר קצר ושנון.
מלא פיו מים, שתק
מלאו לבו, נמלא אומץ ועוז
מלאכת מחשבת, עבודה אמנותית הדורשת  מומחיות רבה.
לתפארת המליצה, תוספת לדברים הנאמרת  לשם יופי וסגנון בלבד.
נמלץ, דיבור נפוח/ גדוש מליצות.
מלכוד, מצב ללא מוצא/ הנחת מוקש
מלקוח, שלל חי שנלקח מן האויב
ממגורה, מחסן תבואה
ממה נפשך, בכל מקרה
ממורט, מצוחצח ומלוטש/ שחוק ובלוי
ממשלת צללים, חברי האופוזיציה המציגים  עצמם כממשלה.
מנדט, היתר/ ייפוח כוח/ מושב בבית הנבחרים המייצג  אחוז מסוים מקולות  הבוחרים שניתנו למלפגה מסוימת
מנה אחת אפיים, כפליים/ נזיפה קשה
מניה (mania), שיגעון/טירוך/ מחלת נפש
מניה וביה, מיד/ ממנו עצמו
מנעל, נעל
מס שפתים, דברים האנמרים כדי לצאת מידי  חובה בלי כוונה לממשם
מסה, ניסיון קשה בחיוו של אדם  חיובי עיוני קצר
מסכת, תוכנית של קריאה/ שירה ומשחק  מערכת בעיות עליהן דנים
מעדנות, בהנאה
מעונב, לובש עניבה/ בעל מראה רשמי  קשור/כרוך
מעות, כסף
מערה, מקום חשוף וגלוי
מעורה, מוצמוד/מחובר/ מושרש
מעשה מרכבה, דבר מורכב ומסובך  הרכבת צוות אנשים שיעבדו יחד
מפולש, שניתן לפלוש אליו
מפקידה לפקידה, מדי פעם
מצולה, מעמקים
מצוק, סלע זקוף וגבוה המתרומם בצורה אנכית
מצע, ריפוד/ בסיס ורקע לעניין
מצער, מעט
מצערת, אמצעי ויסות המהירות במטוסים וכלי רכב.
מצר, גבול
מצר (mazar), מצוקה
מקאמה, סיפור שנון הכתוב בחרוזים
מקבת, פטיש
מקוב, פטיש
משומד, יהודי שהמיר את דתו
משנה, גדול פי שניים/ סגן
מתוך שלא לשמה בא לשמה, עסק בדבר לא מאהבה והגיע לאהבו.
נאחז בקש, חיפש מפלט
נבג, תא רבייה של צמחים
נביעה, הופעה/בצבוץ
נבעה, נגלה/ נחשף
נגיד, מושל/ אדם בכיר
נד, קיר זקוף/ עמוד זקוף של מים
נהמה, רעש עמום וחזק
נופת צופים, מתיקות/ נועם
נוקדן, דייקן קיצוני
בנזיד עדשים, בתמורה לדבר קל ערך.
נזר הבריאה, כינוי מליצי לאדם הרואה את עצמו כיצירה הגבוהה ביותר
נחשוני, חלוצי/ נועז ואמיץ
כמלוא הנימה, מעט שבמעט/ כחוט השערה.
ניצוח, ניהול/ ארגון
נכזב, לא התגשם
נכסי צאן ברזל, דברים שחשיבותם נצחית.
נסח, העתק
נפח (nafach), פלט אוויר דרך הפה
נצחון פירוס, כינוי לנצחון שעלה בקורבנות רבים וכמוהו כמפלה
נציב, עמוד/ מושל/ ממונה
נצילות, יעילות
נקרה, נפגע איתו באקראי
נר לרגליו, רעיון מנחה
נרעש, נדהם
נשוא פנים, מכובד
נשף, שעות הלילה המאוחרות  מסיבה חגיגית הנערכת בשעות הלילה
סאה, מידה נפח קדומה
סאטירה, יצירה
סברת כרס, השערה בלתי מבוססת.
סגה, רומן המספר תולדות משפחה אחת.
סגולה, תכונה חיובית
סגין, מעיל צבאי
סוללה, תל עפר גבוה/ בטרייה
סח, דיבר
סטואי, אדיש/ מאופק/ שלו
סיבר את האוזן, הסביר באופן ברור.
סיג (siyag), גדר/ גבול
סיג (sig), פסולת של מתכת
סיטרא אחרא, שטן/ כוחות האופל.
סימפוזיון, דיון פומבי
ספיח, צבואה הצומחת מתוך הגרגרים  דבר שהוא תולדה או תוצר לוואי של אחר
סכירה, סתימה
סמוכה, עמוד המשמש לתמיכה
סנורים, עיוורון זמני שנובע מחשיפה לאור חזק
מוכה סנוורים, אינו יכול להפעיל שיקול דעת
ספורדי, לא סדיר/ לא קבוע
ספירה, סביבה
ספרטני, מסתפק במועט/ סגפן.
סקירה, הסתכלות/ תיאור או סיכום קצר של משהו  הסתכלות מדוקדקת
סרוח, מעלה ריח רע/ שרוע/ נגרר
סרח העודף, תוספת מיותרת וטפלה שאין בה תועלת
סריס, עבד שסורס ונתמנה לשמור על הרמון הנשים של המלך  פקיד או שר המקורב למלך
עבד כי ימלוך, התקדם בדרגה והחל לרדות בכפופים לו
עבר זמנו בטל קרבנו, כעת אין טעם לעשות את הדבר  שכן הזמן שהיה ראוי לעשותו עבר
עברה, כעס
עג, הסתובב
עגה, סלנג
נושא בעול, עושה את כל העבודה הקשה
עוללה, פרי שנשאר על העץ אחרי הבציר או המסיק
עורבא פרח, שמועה חסרת בסיס
מעוז, מקלט
עיבורה של עיר, שולי העיר/ מרכז העיר
על עברי פי פחת, על סף סכנה נוראה
עלה תאנה, דבר מה המשמש להסוואה
עמוד השחר, אור ראשון/ דמדומי הבוקר.
עמק הבכא, מקום ייסורים
ענבר, שרף העץ/ צבע דבש
עקוד, קשור/ כבול
ערל, לא נימול/ אטום
ערש, מיטה
פארסה, קטע קומי גס
פדגוג, מורה/ מחנך
פדרציה, התאגדות
פה מפיק מרגליות, כינוי לבעל כושר ביטוי מעולה
פובליציסט, כותב מאמרים על נושאים ציבוריים-מדיניים
פוחח, לבוש בגדים קרועים/ שובב
פוריטניות, סגפנות וצניעות
פורץ גדר, מפר חוק
פזורה, גלות/ תפוצה
פח יקוש, מלכודת
פחת (pahat), חפירה עמוקה באדמה
פטרון, נותן חסות
פימה, סנטר כפול
פיקה, בליטה
פיקח, שאינו עיור חכם ונבון
פיתוח, חקיקה/ גילוף או חריתה של צורות או דמויות בחומר
פלבול, לגלגל עיניים
פלגיאט, גניבה ספרותית
פלוש, מסדרון
פלסתר, רמאות/ זיוף
כתב פלסתר, מכתב השמצה מלא שקרים
עשה פלסתר, סילף/ עיוות.
פני הדור כפני הכלב, כינוי לדור חסר בושה/ דור של פורעי חוק
פסבדונים, שם עט
פסוקת, שביל בשיער
פעפוע, בעבוע/ חלחול/ הצםה או גאות של רגש
פרוביזורי, לא קבוע
פרובינציה, אזור מרוחק מהמרכז
פרולטריון, מעמד הפועלים
פרטיזני, שנעשה ביוזמה פרטית
פריעה, תשלום חוב/ עשיית השיער פרוע ולא מסודר
פרכוס, עיוות באברי הגוף/ איפור
פרפראות, קינוח/ דברים קלים ומשעשעים הנוספים לעניינים רציניים יותר
פש, יצא לנופש
פושט יד, קבצן
פושט עור," אדם שתפקידו להסיר את העור של בע""ח  אדם המפקיע במחירי סחורתו"
פתוס, התלהבות מוגזמת
פתחון פה, הזדמנות טובה לטעון משהו או להתנצל
צאן מרעיתו, כינוי לקהל או לקהילה ביחס למנהיגם הרוחני
צבות, לפות בחוזקה
צדקנות, התחסדות/ צדיקות לכאורה.
ציפה, החלק העסיסי של הפרי
ציפורן, החוד בעט נובע
ציץ, ניצן
צלם, דמות/ פסל או עצם אחר שבני אדם מאמינים כי הוא אל וסוגדים לו
צלמוות, חושך/ אפלה
(והיה) לצנינים בעיניו, עצבן אותו
צפיחית, עוגה/ רקיק/ תופין
צרוף, טהור/ מזוקק
קבע מסמרות בדבר, ניסח ככללים קבועים שאין לשנותם.
קו פרשת המים, נקודת זמן שממנה לא ניתן לחזור.
קודקס, ספר חוקים
קוממיות, ריבונות/ בראש מורם
קונצרן, התאחדות מפעלים תחת הנהלה משותפת.
קוצו של יוד, דבר קטן וחסר ערך
קוריוז, מקרה משעשע/ דבר שולי וחסר חשיבות
קיט, נופש בקיץ
קלחת, סיר
קמאי, ראשוני
קמה, שם כולל לתבואה לפני הקציר.
קעקוע, הרס/ חורבן
קרדום, סכין/ גרזן
קרדום לחפור בו, השתמש בדבר לתועלתו האישית
קרדינל, דרגת כמורה גבוהה
קרדינלי, עיקרי/ יסודי/ חשוב ביותר
קרע קריעה, התאבל
קשר כתרים, הילל/ שיבח
ראשית אונו, הבן הבכור
ראשית חכמה, תנאי ראשוני
רביבים, טל
רחץ בניקיון כפיו, התנער מאחריות
ריבה, נערה
ריטוש, קריעה לגזרים
רכב, נוהג בכרכרה רתומה לסוס/ עגלון.
רמה, אזור הררי גבוה
רקבובית, חומר אורגני שהרקיב
רקיק, דק מאוד
רקק (rikak), מקווה מים רדודים
רקק (rakak), פלט רוק מפיו
כבשת הרש, רכושו היחיד של האדם הנגזל ממנו בידי עשיר
שאילתה, שאלה פומבית המוגשת לשר בממשלה  שאלה שמפנים מלאגר נתונים
שגר, קבוצת ולדות של בעל חיים שנולדו באותה מלטה  מסר המשוגר במערכת תקשורת
שהות, פנאי/ שהייה
שובל, שוליים/ העקבות שמותירות אחריהן ספינות
שוועה, קריאה לעזרה
שוע, אציל/ עשיר
שופין, פתירה
שורו, הסתכלו
שיממון, ריקנות/ בדידות
שיעור קומה, חשיבות
שיפולי, תחתית/ שובל/שולים
שירת הברבור, פעולה מהוללת אחרונה לפני פרישה
שלח, חרב קצרה/ החלק המאוזן של מדרגה/ תעלת השקיה
שלף, שדה שנקצר ועדיין לא נחרש
שלק, הרתיח
שמורות עיניים, עפעפיים
שינס מותניים, התכונן במרץ
שפחה חרופה, אמה/ משרתת
שרבוב, הארכה/מתיחה/ הכנסה שלא במקום
שריר, חזק/ אמיץ
שרך דרכיו, סר מדרך הישר
תווך, אמצע
תושיה, עצה/ חוכמה
תזה, הנחת יסוד
תחולה, המועד שבו חוק חדש נכנס לתוקף
תכתיב, כפייה לפעול בצורה מסויימת.
תלי תילים, שפע רב
תלוי ועומד, בלתי מוכרע
תרומי, נעלה
תרתי דסתרי, שני דברים הסותרים זה את זה
